INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(872,'7708154510421',15,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(106,'7706522502368',16,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(843,'7706618216235',17,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(36,'7702099904231',18,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(687,'7705136489680',19,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(832,'7707113294913',20,16);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(384,'7702658158129',23,18);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(757,'7705643609227',24,18);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(637,'7705354968056',5,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(23,'7704077242918',6,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(543,'7709429998162',7,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(789,'7709813627993',8,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(582,'7707113677646',11,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(817,'7706985785485',12,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(606,'7703140638534',13,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(900,'7707842522182',14,11);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(943,'7708000724612',33,19);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(476,'7703693242552',34,19);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(373,'7708219030934',35,19);
INSERT INTO product_provider(stock, bar_code, fk_id_product, fk_id_provider) VALUES(104,'7706106596601',36,19);
